ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
1,Investment Earnings Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
1,Government Support Receipts,1,1,TRUE,1.50E+09,1,1.50E+09,1,1.50E+09,1.50E+09,10,-1.50E+09,-1.50E+09,10,FALSE
1,Other Transfers and Adjustments Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
-1,Management Business Science and Arts Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Services Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Work at Home Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Sales and Office Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Natural Resources Construction and Maintenance Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Production Transportation and Material Moving Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Military Labor,1,1,FALSE,1.61E+06,1,1.61E+06,1,1.61E+06,1.61E+06,10,-1.61E+06,-1.61E+06,10,FALSE
-1,Post K-12 and Other Instruction,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,ResUnitSF,1,1,FALSE,0,0,1.61051,0,0,0,0,0,-1.61E-04,0,FALSE
1,ResUnitSF,1,1,FALSE,-120.3695174,200,1.61051,0,6018.47587,4.83E-04,0.002,0,-1.61E-04,0,FALSE
2,ResUnitSF,1,1,FALSE,-208.4322042,200,1.61051,0,10421.61021,4.83E-04,0.002,0,-1.61E-04,0,FALSE
3,ResUnitSF,1,1,FALSE,-454.16382,200,1.61051,0,22708.191,4.83E-04,0.002,0,-1.61E-04,0,FALSE
4,ResUnitSF,1,1,FALSE,-333.6332516,200,1.61051,0,16684.8836,4.83E-04,0.002,0,-1.61E-04,0,FALSE
5,ResUnitSF,1,1,FALSE,-160.7611082,200,1.61051,0,8038.05541,4.83E-04,0.002,0,-1.61E-04,0,FALSE
6,ResUnitSF,1,1,FALSE,-140.8229944,200,1.61051,0,7041.14972,4.83E-04,0.002,0,-1.61E-04,0,FALSE
7,ResUnitSF,1,1,FALSE,-219.7057742,200,1.61051,0,10985.28871,4.83E-04,0.002,0,-1.61E-04,0,FALSE
8,ResUnitSF,1,1,FALSE,-125.7486208,200,1.61051,0,6287.43104,4.83E-04,0.002,0,-1.61E-04,0,FALSE
