TAZ,Commodity,Quantity
3967,Single Family Detached Residential Luxury,382.8333333
3967,Single Family Attached Residential Economy,476.3333333
3967,Single Family Detached Residential Economy,8316.666667
3972,Multi-Family Residential Economy,39915
3975,Multi-Family Residential Economy,39915
3976,Single Family Attached Residential Economy,248.3
3976,Single Family Detached Residential Economy,7360.4
3977,Single Family Attached Residential Economy,248.3
3977,Single Family Detached Residential Economy,7360.4
3978,Single Family Attached Residential Economy,248.3
3978,Single Family Detached Residential Economy,7360.4
3979,Single Family Detached Residential Economy,31485.5
3979,Single Family Attached Residential Economy,20674.5
3980,Single Family Detached Residential Economy,31485.5
3980,Single Family Attached Residential Economy,20674.5
3981,Single Family Detached Residential Economy,31485.5
3981,Single Family Attached Residential Economy,20674.5
3982,Single Family Detached Residential Economy,31485.5
3982,Single Family Attached Residential Economy,20674.5
3987,Retail Space,952
3987,Office Space,33880
3988,Retail Space,952
3988,Office Space,33880
3991,Single Family Attached Residential Economy,248.3
3991,Single Family Detached Residential Economy,7360.4
3992,Single Family Attached Residential Economy,248.3
3992,Single Family Detached Residential Economy,7360.4
3993,Single Family Attached Residential Economy,248.3
3993,Single Family Detached Residential Economy,7360.4
4009,Single Family Detached Residential Economy,5152.857143
4013,Single Family Detached Residential Economy,5152.857143
4014,Single Family Detached Residential Economy,5152.857143
4015,Single Family Detached Residential Economy,5152.857143
4016,Single Family Detached Residential Economy,5152.857143
4017,Single Family Detached Residential Economy,5152.857143
4018,Single Family Detached Residential Economy,5152.857143
4034,Secondary Schools,97286.33333
4036,Religious Space,0
4036,Single Family Detached Residential Economy,42232.25
4044,Secondary Schools,97286.33333
4045,Secondary Schools,97286.33333
4046,Religious Space,0
4046,Single Family Detached Residential Economy,42232.25
4508,Retail Space,7462
4510,Retail Space,7462
4511,Retail Space,7462
4524,Office Space,0
4524,Light Industrial Space,4685
4524,Multi-Family Residential Economy,50540.5
4524,Retail Space,49017
4525,Office Space,0
4525,Light Industrial Space,4685
4525,Multi-Family Residential Economy,50540.5
4525,Retail Space,49017
5720,Light Industrial Space,0
5720,Spaced Rural Residential Luxury,0
5720,Single Family Detached Residential Economy,1049.333333
5720,Single Family Detached Residential Luxury,8358.166667
5722,Light Industrial Space,0
5722,Spaced Rural Residential Luxury,0
5722,Single Family Detached Residential Economy,1049.333333
5722,Single Family Detached Residential Luxury,8358.166667
5723,Light Industrial Space,0
5723,Spaced Rural Residential Luxury,0
5723,Single Family Detached Residential Economy,1049.333333
5723,Single Family Detached Residential Luxury,8358.166667
5724,Light Industrial Space,0
5724,Spaced Rural Residential Luxury,0
5724,Single Family Detached Residential Economy,1049.333333
5724,Single Family Detached Residential Luxury,8358.166667
5741,Light Industrial Space,0
5741,Spaced Rural Residential Luxury,0
5741,Single Family Detached Residential Economy,1049.333333
5741,Single Family Detached Residential Luxury,8358.166667
5742,Light Industrial Space,0
5742,Spaced Rural Residential Luxury,0
5742,Single Family Detached Residential Economy,1049.333333
5742,Single Family Detached Residential Luxury,8358.166667
5758,Single Family Detached Residential Economy,11380.6
5760,Single Family Detached Residential Economy,11380.6
5764,Single Family Detached Residential Economy,11380.6
5765,Single Family Detached Residential Economy,11380.6
5767,Single Family Detached Residential Economy,11380.6
6455,Single Family Detached Residential Economy,568.25
6456,Single Family Detached Residential Economy,568.25
6457,Single Family Detached Residential Economy,568.25
6458,Single Family Detached Residential Economy,568.25
6496,Single Family Detached Residential Economy,3436.75
6497,Single Family Detached Residential Economy,3436.75
6498,Single Family Detached Residential Economy,3436.75
6499,Single Family Detached Residential Economy,3436.75
6501,Single Family Detached Residential Economy,3436.75
6504,Single Family Detached Residential Economy,3436.75
6516,Single Family Detached Residential Economy,3436.75
6517,Single Family Detached Residential Economy,3436.75
6531,Government Operations Space,2103.714286
6532,Government Operations Space,2103.714286
6534,Government Operations Space,2103.714286
6540,Government Operations Space,2103.714286
6541,Government Operations Space,2103.714286
6543,Government Operations Space,2103.714286
6545,Government Operations Space,2103.714286
7571,Single Family Attached Residential Economy,0
7571,Multi-Family Residential Luxury,9264.166667
7571,Multi-Family Residential Economy,3680
7572,Single Family Attached Residential Economy,0
7572,Multi-Family Residential Luxury,9264.166667
7572,Multi-Family Residential Economy,3680
7573,Single Family Attached Residential Economy,0
7573,Multi-Family Residential Luxury,9264.166667
7573,Multi-Family Residential Economy,3680
7574,Single Family Attached Residential Economy,0
7574,Multi-Family Residential Luxury,9264.166667
7574,Multi-Family Residential Economy,3680
7584,Single Family Attached Residential Economy,0
7584,Multi-Family Residential Luxury,9264.166667
7584,Multi-Family Residential Economy,3680
7586,Single Family Attached Residential Economy,0
7586,Multi-Family Residential Luxury,9264.166667
7586,Multi-Family Residential Economy,3680
7602,Hotel Space,0
7602,Light Industrial Space,0
8588,Light Industrial Space,3420
8595,Secondary Schools,129034.5
8612,Retail Space,0
8612,Office Space,90000
8648,Multi-Family Residential Luxury,1032.5
8648,Multi-Family Residential Economy,1270.5
8648,Single Family Detached Residential Luxury,1524.25
8648,Office Space,6174.5
8649,Active Park Space,0
8659,Active Park Space,0
8660,Active Park Space,0
8661,Active Park Space,0
8662,Active Park Space,0
9459,Multi-Family Residential Economy,5197.5
9459,Single Family Detached Residential Economy,3583.833333
9459,Primary Schools,11868
9460,Multi-Family Residential Economy,5197.5
9460,Single Family Detached Residential Economy,3583.833333
9460,Primary Schools,11868
9461,Multi-Family Residential Economy,5197.5
9461,Single Family Detached Residential Economy,3583.833333
9461,Primary Schools,11868
9462,Multi-Family Residential Economy,5197.5
9462,Single Family Detached Residential Economy,3583.833333
9462,Primary Schools,11868
9469,Multi-Family Residential Economy,5197.5
9469,Single Family Detached Residential Economy,3583.833333
9469,Primary Schools,11868
9471,Multi-Family Residential Economy,5197.5
9471,Single Family Detached Residential Economy,3583.833333
9471,Primary Schools,11868
10188,Government Operations Space,0
10188,Retail Space,7755
10188,Single Family Detached Residential Economy,6385.75
10188,Multi-Family Residential Economy,69994
10190,Single Family Detached Residential Economy,12707.5
10198,Single Family Detached Residential Economy,12707.5
10209,Government Operations Space,0
10209,Retail Space,7755
10209,Single Family Detached Residential Economy,6385.75
10209,Multi-Family Residential Economy,69994
10210,Government Operations Space,0
10210,Retail Space,7755
10210,Single Family Detached Residential Economy,6385.75
10210,Multi-Family Residential Economy,69994
10211,Government Operations Space,0
10211,Retail Space,7755
10211,Single Family Detached Residential Economy,6385.75
10211,Multi-Family Residential Economy,69994
10212,Single Family Detached Residential Economy,22009.5
10213,Single Family Detached Residential Economy,22009.5
10226,Single Family Detached Residential Economy,25562.5
10237,Single Family Detached Residential Economy,25562.5
10245,Single Family Detached Residential Economy,25562.5
10253,Single Family Detached Residential Economy,25562.5
10293,Single Family Detached Residential Economy,326722
10293,Multi-Family Residential Economy,83181
11124,Single Family Detached Residential Economy,22904.5
